Equipo,Clasificacion_por_Puntos,Partidos_Jugados,Partidos_Ganados,Partidos_Perdidos,Sets_a_Favor,Sets_en_contra,Puntos_a_Favor,Puntos_en_Contra,Resultados_3-0,Resultados_3-1,Resultados_3-2,Resultados_2-3,Resultados_1-3,Resultados_0-3,Coef_Sets,Coef_Puntos,Sanciones,Posicion_final_act,Temp,0,1,Posicion_final_Ant,Eficacia_Recepcion_Fin,Eficacia_Ataques_Punto_Fin,Efectividad_Saque_Fin,Efect_Bloqueo_Fin,Coef_Efec_Puntos_Fin,Eficacia_Recepcion_Ini,Eficacia_Ataques_Punto_Ini,Efectividad_Saque_Ini,Efect_Bloqueo_Ini,Coef_Efec_Puntos_Ini
Socuellamos,34.0,22.0,11.0,11.0,44.0,42.0,1888.0,1875.0,5.0,3.0,3.0,4.0,3.0,4.0,105.0,1007.0,-,6,22/23,,,3,0.654,0.35300000000000004,0.03637948179679135,0.3579055871109346,5.570723508375682,0.4816666666666667,0.27499999999999997,0.04001670773654613,0.2440341300691975,7.1635101010101
Sayre,33.0,22.0,11.0,11.0,42.0,41.0,1819.0,1792.0,6.0,2.0,3.0,3.0,3.0,5.0,102.0,1015.0,-,7,22/23,,,10,0.5328571428571428,0.2857142857142857,0.054183992314010644,0.25171858216971,5.829849515563802,0.48,0.15,0.02922077922077922,0.32996632996632996,4.9935064935064934
Haro_Rioja,28.0,22.0,10.0,12.0,40.0,48.0,1926.0,1972.0,3.0,2.0,5.0,3.0,4.0,5.0,83.0,977.0,-,8,22/23,,,6,0.601,0.273,0.054735217202739536,0.22431875662909198,6.333073593073593,0.5771428571428572,0.3685714285714286,0.0479870311634058,0.3508797268288209,8.625491821858763
Emeve,27.0,22.0,8.0,14.0,41.0,49.0,1929.0,1973.0,4.0,1.0,3.0,6.0,5.0,3.0,84.0,978.0,-,9,22/23,,,8,0.6245454545454545,0.33090909090909093,0.037748501516404666,0.36035902244141,6.536091433818706,0.69125,0.41875,0.056695804075500976,0.2792377860235003,5.638371212121212
Alcobendas,17.0,22.0,6.0,16.0,29.0,56.0,1784.0,1952.0,1.0,2.0,3.0,2.0,7.0,7.0,52.0,914.0,-,10,22/23,,,9,0.655,0.29100000000000004,0.046219662166518016,0.31899042191298577,7.07038961038961,0.48142857142857143,0.19571428571428573,0.03990233289521858,0.26638171225937185,3.2960557960557963
Heidelberg,8.0,22.0,3.0,19.0,17.0,60.0,1495.0,1850.0,1.0,1.0,1.0,0.0,8.0,11.0,28.0,808.0,-,11,22/23,,,13,0.48384615384615387,0.2692307692307692,0.04347985447376393,0.38509470741179097,3.905510577908768,,,,,
Madrid_Chamberi,6.0,22.0,2.0,20.0,8.0,62.0,1328.0,1742.0,0.0,2.0,0.0,0.0,2.0,18.0,13.0,762.0,-,12,22/23,,,13,0.5036363636363637,0.25545454545454543,0.06670479304388628,0.38695397822516464,4.690044584602001,,,,,
Gran_Canaria,54.0,22.0,20.0,2.0,62.0,23.0,1972.0,1707.0,9.0,5.0,6.0,0.0,2.0,0.0,270.0,1155.0,-,1,21/22,,,13,0.597,0.41899999999999993,0.06470173479310694,0.3821148043471141,5.7200912128806864,0.583,0.34900000000000003,0.08427155918635128,0.37912083487027254,5.6664276055249685
Libby's_La_Laguna,52.0,22.0,17.0,5.0,56.0,21.0,1816.0,1571.0,12.0,4.0,1.0,2.0,1.0,2.0,267.0,1156.0,-,2,21/22,,,3,0.58375,0.36,0.062236222876502115,0.3782171334023996,7.415178571428571,0.73625,0.3825,0.04852028127276157,0.4323334842678802,10.668311688311688
Socuellamos,45.0,21.0,15.0,6.0,50.0,30.0,1884.0,1765.0,8.0,2.0,5.0,2.0,1.0,3.0,167.0,1067.0,-,3,21/22,,,6,0.5133333333333333,0.31555555555555553,0.05009781597185996,0.2988014493124355,7.453389236036295,0.54,0.41,0.05040632383909379,0.44630924720730547,11.269545454545455
Sant_Cugat,36.0,22.0,11.0,11.0,45.0,40.0,1862.0,1780.0,6.0,3.0,2.0,5.0,2.0,4.0,112.0,1046.0,-,4,21/22,,,5,0.56,0.3025,0.05868874819608639,0.22373250342546747,6.828282828282829,0.5528571428571428,0.2885714285714286,0.0650674756948527,0.23400704715017953,7.2521645021645025
