Equipo,Clasificacion_por_Puntos,Partidos_Jugados,Partidos_Ganados,Partidos_Perdidos,Sets_a_Favor,Sets_en_contra,Puntos_a_Favor,Puntos_en_Contra,Resultados_3-0,Resultados_3-1,Resultados_3-2,Resultados_2-3,Resultados_1-3,Resultados_0-3,Coef_Sets,Coef_Puntos,Sanciones,Posicion_final_act,Temp,0,1,Posicion_final_Ant,Eficacia_Recepcion_Fin,Eficacia_Ataques_Punto_Fin,Efectividad_Saque_Fin,Efect_Bloqueo_Fin,Coef_Efec_Puntos_Fin,Eficacia_Recepcion_Ini,Eficacia_Ataques_Punto_Ini,Efectividad_Saque_Ini,Efect_Bloqueo_Ini,Coef_Efec_Puntos_Ini
Haro_Rioja,36.0,22.0,12.0,10.0,43.0,38.0,1815.0,1750.0,6.0,4.0,2.0,2.0,3.0,5.0,113.0,1037.0,-,6,17/18,,,3,0.61625,0.31625,0.06602549438970909,0.2911302069407505,7.394580200501253,0.6839999999999999,0.264,0.03572645219704043,0.4259916476012675,5.627950558213716
Dos_Hermanas,34.0,22.0,9.0,13.0,44.0,45.0,1922.0,1907.0,4.0,4.0,1.0,8.0,1.0,4.0,98.0,1008.0,-,7,17/18,,,13,0.5822222222222222,0.29333333333333333,0.07568895487943944,0.5195882349376049,7.058441558441559,0.45,0.29333333333333333,0.0463722998235509,0.4192065795839381,3.674688057040998
Sant_Cugat,30.0,22.0,9.0,13.0,41.0,48.0,1909.0,1941.0,2.0,5.0,2.0,5.0,4.0,4.0,85.0,984.0,-,8,17/18,,,9,0.577,0.282,0.04969203750405055,0.2722951199288112,6.222880452880453,0.5485714285714286,0.2942857142857143,0.04646466554538303,0.41091914531458495,6.921826625386997
Alcobendas,28.0,22.0,10.0,12.0,37.0,44.0,1729.0,1844.0,5.0,2.0,3.0,1.0,5.0,6.0,84.0,938.0,-,9,17/18,,,4,0.5155555555555555,0.31333333333333335,0.049029705951149756,0.2718282697269634,7.6457811194653305,0.5957142857142858,0.2957142857142857,0.07003294268153407,0.28627550258503215,5.647360248447205
Barça,20.0,22.0,7.0,15.0,31.0,55.0,1786.0,1901.0,1.0,2.0,4.0,3.0,4.0,8.0,56.0,940.0,-,10,17/18,,,6,0.63,0.34299999999999997,0.07513683849217073,0.4841244961934617,5.659762094630516,0.5922222222222222,0.25555555555555554,0.058561059052679054,0.4285105289734752,5.22191575356537
VP_Madrid,9.0,22.0,2.0,20.0,16.0,60.0,1501.0,1790.0,2.0,0.0,0.0,3.0,4.0,13.0,27.0,838.0,-,11,17/18,,,10,0.5,0.2675,0.04524225693365925,0.24389130324970812,4.544904401154401,0.356,0.246,0.03773426154307185,0.16791288566243195,2.1653594771241833
Aguere,0.0,22.0,0.0,22.0,3.0,66.0,1091.0,1722.0,0.0,0.0,0.0,0.0,3.0,19.0,5.0,634.0,-,12,17/18,,,5,0.5490909090909091,0.19090909090909092,0.048434648585348,0.17975467818674304,4.1285334548492445,0.36,0.175,0.04526748971193415,0.18645833333333334,2.6631944444444446
Logroño,59.0,20.0,20.0,0.0,60.0,6.0,1625.0,1107.0,15.0,4.0,1.0,0.0,0.0,0.0,1000.0,1468.0,-,1,16/17,,,1,0.6754545454545454,0.34909090909090906,0.07355203620135166,0.39466010956541003,6.383505993907064,0.5811111111111111,0.41333333333333333,0.06416440240644791,0.32704596674965736,7.171815591815592
Haris,50.0,20.0,17.0,3.0,52.0,20.0,1671.0,1483.0,7.0,9.0,1.0,0.0,1.0,2.0,260.0,1127.0,-,2,16/17,,,2,0.5445454545454546,0.33454545454545453,0.055492511136170916,0.5140428364401971,4.722832167832167,0.6083333333333333,0.34,0.044011760815039505,0.3273567311132627,7.906565656565657
Haro_Rioja,41.0,20.0,13.0,7.0,49.0,29.0,1755.0,1564.0,7.0,4.0,2.0,4.0,2.0,1.0,169.0,1122.0,-,3,16/17,,,3,0.6719999999999999,0.365,0.04583812154153571,0.3214702572122852,6.55629117259552,0.51,0.28833333333333333,0.0478187076878489,0.367660110720564,9.067212475633529
Alcobendas,34.0,20.0,12.0,8.0,43.0,36.0,1767.0,1704.0,4.0,4.0,4.0,2.0,3.0,3.0,119.0,1037.0,-,4,16/17,,,4,0.5940000000000001,0.321,0.06921049250795759,0.3363559827465924,6.7339390341116685,0.7066666666666667,0.33166666666666667,0.05506789893576694,0.309918794681965,8.672387490465294
Aguere,32.0,20.0,11.0,9.0,40.0,36.0,1665.0,1600.0,5.0,3.0,3.0,2.0,3.0,4.0,111.0,1041.0,-,5,16/17,,,8,0.600909090909091,0.26,0.03945351361701693,0.341270888169813,6.070936345552713,0.56,0.2725,0.0630506156354086,0.294115990990991,8.117105263157894
Barça,28.0,20.0,10.0,10.0,34.0,37.0,1544.0,1583.0,5.0,3.0,2.0,0.0,4.0,6.0,92.0,975.0,-,6,16/17,,,9,0.472,0.22199999999999998,0.05050274902717265,0.46996223131476933,4.9189135140222096,0.4425,0.235,0.03500081431904994,0.1742600222066386,5.7625
Avarca_de_Menorca,28.0,20.0,8.0,12.0,36.0,41.0,1643.0,1686.0,4.0,3.0,1.0,5.0,2.0,5.0,88.0,974.0,-,7,16/17,,,7,0.536,0.372,0.049108648101348,0.30438509059329727,6.225165855816011,0.6233333333333334,0.26666666666666666,0.05853381676045404,0.4281963545062137,6.753880070546738
Gran_Canaria,21.0,20.0,7.0,13.0,34.0,47.0,1681.0,1830.0,2.0,2.0,3.0,3.0,7.0,3.0,72.0,919.0,-,8,16/17,,,13,0.476,0.403,0.05757381012768555,0.42167240804400546,7.911111111111111,0.664,0.2,0.09032992103560981,0.353089430894309,4.59968253968254
Sant_Cugat,17.0,20.0,6.0,14.0,28.0,49.0,1590.0,1739.0,2.0,1.0,3.0,2.0,6.0,6.0,57.0,914.0,-,9,16/17,,,13,0.5554545454545455,0.2618181818181818,0.055390725458578004,0.3625041025739278,5.5411786028025825,0.5,0.3,0.08076923076923077,0.35294117647058826,2.3
VP_Madrid,12.0,20.0,4.0,16.0,18.0,52.0,1281.0,1659.0,1.0,2.0,1.0,1.0,4.0,11.0,35.0,772.0,-,10,16/17,,,10,0.43250000000000005,0.24916666666666668,0.05242118211616055,0.17201014052322136,4.012682850918146,0.46699999999999997,0.29100000000000004,0.05242391828638293,0.2619796432839911,4.385
Extremadura_Arroyo,8.0,20.0,2.0,18.0,16.0,57.0,1435.0,1702.0,0.0,1.0,1.0,3.0,4.0,11.0,28.0,843.0,-,11,16/17,,,11,0.5025000000000001,0.22375,0.0630441296528265,0.22342367191611334,6.278233574131407,0.6125,0.25,0.0456770185781617,0.22382988550359975,5.089440359477124
Logroño,59.0,20.0,20.0,0.0,60.0,7.0,1643.0,1227.0,14.0,5.0,1.0,0.0,0.0,0.0,857.0,1339.0,-,1,15/16,,,13,0.563,0.418,0.05924494822508751,0.3624296053688093,7.041776889776889,0.74375,0.375,0.0764599150234595,0.4327957760901551,8.037857142857144
Haris,45.0,20.0,16.0,4.0,51.0,25.0,1732.0,1628.0,7.0,5.0,4.0,1.0,1.0,2.0,204.0,1064.0,-,2,15/16,,,13,0.522,0.309,0.07984027547302831,0.46642067914707247,6.4784937888198755,0.6175,0.3875,0.05464473892043918,0.4218206601827291,10.72874579124579
Haro_Rioja,40.0,20.0,14.0,6.0,47.0,29.0,1739.0,1574.0,6.0,5.0,3.0,1.0,3.0,2.0,162.0,1105.0,-,3,15/16,,,13,0.5471428571428572,0.29714285714285715,0.05972019309270441,0.294416532031981,8.618455988455988,0.38,0.36,0.05914964427011699,0.4988095238095238,4.282727272727273
Alcobendas,39.0,20.0,13.0,7.0,46.0,30.0,1733.0,1664.0,6.0,5.0,2.0,2.0,3.0,2.0,153.0,1042.0,-,4,15/16,,,13,0.639,0.28300000000000003,0.0484492576523089,0.33665825696483687,6.095227366074048,0.6625,0.27999999999999997,0.05923228861759596,0.232924811179316,5.633458646616541
Leadernet,36.0,20.0,13.0,7.0,46.0,32.0,1753.0,1639.0,7.0,1.0,5.0,2.0,3.0,2.0,144.0,1070.0,-,5,15/16,,,13,0.6377777777777778,0.31777777777777777,0.06710395574343347,0.4189655751881817,7.9944444444444445,0.648,0.302,0.0493841746532665,0.2997901706137,7.45642328042328
CCO_7_PALMAS,30.0,20.0,9.0,11.0,36.0,39.0,1614.0,1641.0,4.0,4.0,1.0,4.0,1.0,6.0,92.0,984.0,-,6,15/16,,,13,0.0,,,,,,,,,
Avarca_de_Menorca,24.0,20.0,9.0,11.0,32.0,44.0,1611.0,1730.0,1.0,5.0,3.0,0.0,5.0,6.0,73.0,931.0,-,7,15/16,,,13,0.542,0.252,0.05874972713057817,0.3829647577228973,6.339883040935673,0.5660000000000001,0.284,0.07278546873636402,0.2596785487655787,5.716908581614463
Aguere,20.0,20.0,5.0,15.0,28.0,50.0,1628.0,1752.0,0.0,5.0,0.0,5.0,3.0,7.0,56.0,929.0,-,8,15/16,,,13,0.5269999999999999,0.332,0.048416510929387174,0.4380502333384836,8.058062200956938,0.648,0.28200000000000003,0.05622640818298698,0.5006391690801958,6.979220779220779
Barça,13.0,20.0,4.0,16.0,25.0,53.0,1641.0,1810.0,1.0,1.0,2.0,3.0,7.0,6.0,47.0,907.0,-,9,15/16,,,13,0.48625,0.23625000000000002,0.036259706396588855,0.1852430952697922,7.125,0.59,0.33625,0.044471082828225685,0.3286722222791052,7.146201437096578
VP_Madrid,13.0,20.0,4.0,16.0,23.0,52.0,1536.0,1760.0,1.0,2.0,1.0,2.0,7.0,7.0,44.0,873.0,-,10,15/16,,,13,0.471,0.267,0.07268864556183197,0.2633193148483818,6.484999999999999,,,,,
Extremadura_Arroyo,11.0,20.0,3.0,17.0,22.0,55.0,1604.0,1809.0,0.0,2.0,1.0,3.0,7.0,7.0,40.0,887.0,-,11,15/16,,,13,0.558,0.21200000000000002,0.04983879724743259,0.14724386432950695,5.575718954248366,0.5466666666666666,0.18666666666666668,0.07711887727022565,0.2450155073105893,5.863636363636364
,,,,,,,,,,,,,,,,,,1,14/15,,UCAM VÃ³ley Murcia,13,0.0,,,,,,,,,
Murillo,62.0,22.0,21.0,1.0,64.0,8.0,1761.0,1292.0,17.0,3.0,1.0,0.0,1.0,0.0,800.0,1363.0,-,1,13/14,,,13,0.754,0.37,0.0726475261450324,0.45045444002259705,6.742685185185185,,,,,
Leadernet,54.0,22.0,18.0,4.0,58.0,17.0,1791.0,1432.0,14.0,3.0,1.0,1.0,2.0,1.0,341.0,1251.0,-,2,13/14,,,13,0.653,0.281,0.09469710181721702,0.30912820287820286,6.323024531024531,,,,,
Barça,42.0,22.0,15.0,7.0,49.0,35.0,1870.0,1759.0,6.0,4.0,5.0,2.0,0.0,5.0,140.0,1063.0,-,3,13/14,,,13,0.5622222222222222,0.37,0.05842126773494577,0.2858737407160486,7.123024059865492,,,,,
Gran_Canaria,38.0,22.0,12.0,10.0,46.0,37.0,1869.0,1739.0,7.0,3.0,2.0,4.0,2.0,4.0,124.0,1075.0,-,4,13/14,,,13,0.6388888888888888,0.2833333333333333,0.06726322884165925,0.3320030623022675,8.459456962790297,,,,,
Menorca,37.0,22.0,13.0,9.0,46.0,41.0,1896.0,1890.0,3.0,6.0,4.0,2.0,3.0,4.0,112.0,1003.0,-,5,13/14,,,13,0.51125,0.2425,0.08192983832859224,0.3132821078110884,7.086985930735931,,,,,
Haro_Rioja,36.0,22.0,11.0,11.0,42.0,39.0,1752.0,1774.0,6.0,4.0,1.0,4.0,1.0,6.0,108.0,988.0,-,6,13/14,,,13,0.58875,0.39375,0.06067045406644695,0.2635744220179672,7.079761904761905,,,,,
Alcobendas,33.0,22.0,11.0,11.0,42.0,39.0,1791.0,1754.0,7.0,2.0,2.0,2.0,5.0,4.0,108.0,1021.0,-,7,13/14,,,13,0.6525,0.3225,0.053649737757071214,0.2630004237072781,7.589781271360219,,,,,
Extremadura_Arroyo,32.0,21.0,10.0,11.0,36.0,39.0,1775.0,1789.0,5.0,4.0,1.0,1.0,4.0,6.0,92.0,992.0,-,8,13/14,,,13,0.5825,0.24625,0.05136135739855854,0.19854489369034858,6.633297258297258,,,,,
Vall_Hebron,27.0,22.0,9.0,13.0,37.0,48.0,1782.0,1855.0,4.0,1.0,4.0,4.0,2.0,7.0,77.0,961.0,-,9,13/14,,,13,0.6035714285714285,0.27214285714285713,0.04442579485465199,0.2960224909509776,5.102258283696253,,,,,
Aguere,19.0,22.0,7.0,15.0,27.0,53.0,1669.0,1873.0,2.0,2.0,3.0,1.0,4.0,10.0,51.0,891.0,-,10,13/14,,,13,0.625,0.3025,0.050134962893518126,0.4466323472708922,7.275703463203463,,,,,
Sant_Cugat,12.0,21.0,3.0,18.0,19.0,56.0,1562.0,1863.0,1.0,2.0,0.0,2.0,6.0,10.0,34.0,838.0,-,11,13/14,,,13,0.575,0.2608333333333333,0.056966442785089326,0.3107799153689681,4.931147443028248,,,,,
UCAM_Murcia,4.0,22.0,1.0,21.0,10.0,64.0,1303.0,1801.0,0.0,1.0,0.0,1.0,5.0,15.0,16.0,724.0,-,12,13/14,,,13,0.51,0.2736363636363636,0.0450557773091047,0.30399959553241834,5.445887445887446,,,,,
