Apellido,Nombre,Equipo,Partidos_Jugados,Sets_Jugados,Puntos_Jugados,Break_Points,G-P,Error_Saque,Saque_Facil,Saque_Mediopunto,Saque_Negativo,Saque_Positivo,Saque_Punto,Error_Recepcion,Recepcion_Facil,Recepcion_Vendida,Recepcion_Negativa,Recepcion_Positiva,Recepcion_Perfecta,Eficacia_Recepcion_porcentaje,Recepciones_Perfectas_porcentaje,Error_Ataque,Ataque_Facil,Ataque_Bloqueado,Ataque_Negativo,Ataque_Positivo,Ataque_Punto,Eficacia_Ataques_punto,Error_Bloqueo,Bloqueo_Facil,Contacto_Red,Bloqueo_Negativo,Bloqueo_Positivo,Bloqueo_Punto,Temp,Efectividad_Saque_porcentaje,Efectividad_Bloqueo_porcentaje,Coef_Efec_Puntos,Coef_jugado,Temp_prox,Equipo_prox
Rodríguez Sanjurjo,María,Haro_Rioja,22,74,33,24,14,8,3,0,99,83,7,1,0,0,0,2,0,0.67,0.0,9,0,1,8,8,12,0.32,34,0,0,23,6,14,22/23,0.035,0.18181818181818182,1.5,0.8409090909090909,23/24,Haro_Rioja
Rodríguez Villanueva,Elia,Sant_Cugat,15,21,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,1,0,1,1,1,3,0.43,1,0,0,0,2,1,22/23,0.0,0.25,0.26666666666666666,0.25,23/24,
Rodwald,Laura,Libby's_La_Laguna,14,52,113,37,49,16,0,9,48,78,12,13,0,12,107,67,99,0.56,0.33,19,0,16,118,40,92,0.32,3,0,0,0,0,9,22/23,0.0736196319018405,0.75,8.071428571428571,0.6046511627906976,23/24,
Rosell Mamone,Micaela Victoria,Sayre,4,4,2,1,-1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,2,0,0,2,0.4,0,0,0,0,0,0,22/23,0.0,0.0,0.5,0.04819277108433735,23/24,
Ruano Martínez,Marta,Sayre,16,33,10,6,-3,9,0,1,6,5,3,0,0,1,0,0,0,0.0,0.0,3,0,1,9,18,6,0.16,0,0,0,0,0,1,22/23,0.125,1.0,0.625,0.39759036144578314,23/24,
Saldanha Do Amaral,Ellen Grazielle,Socuellamos,24,90,414,186,219,13,17,8,83,155,12,38,17,32,197,161,187,0.55,0.3,80,5,64,316,137,370,0.38,19,1,0,5,4,32,22/23,0.041666666666666664,0.5245901639344263,17.25,1.0465116279069768,23/24,
Sanchez Garcia,Alba Maria,Gran_Canaria,29,99,0,0,-32,0,0,0,0,1,0,32,10,15,116,129,231,0.68,0.43,0,0,0,0,0,0,0.0,0,0,0,0,0,0,22/23,0.0,0.0,0.0,1.32,23/24,
Sánchez Savón,Dayami,Heidelberg,21,73,243,56,68,34,17,11,86,48,11,6,9,8,29,14,7,0.29,0.1,75,5,60,145,144,222,0.34,16,5,0,0,2,10,22/23,0.05314009661835749,0.30303030303030304,11.571428571428571,0.948051948051948,23/24,
Sansó Elle,Louise,Dos_Hermanas,26,91,206,84,138,16,13,13,164,137,21,3,1,1,2,3,4,0.5,0.29,27,3,22,78,51,141,0.44,10,3,2,4,8,44,22/23,0.057692307692307696,0.6376811594202898,7.923076923076923,1.1666666666666667,23/24,Dos_Hermanas
Santos Hurst,Marta,Sayre,22,84,361,140,166,52,11,19,75,112,27,29,15,27,153,118,165,0.56,0.33,81,2,33,176,223,306,0.37,7,0,0,0,3,28,22/23,0.09121621621621621,0.7368421052631579,16.40909090909091,1.0120481927710843,23/24,
Sauca Wences,Ainara,Madrid_Chamberi,2,2,0,0,-1,0,0,0,0,0,0,1,0,0,2,1,0,0.25,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,22/23,,0.0,0.0,0.02857142857142857,23/24,
Saucedo,Marina,Dos_Hermanas,27,92,39,20,10,23,7,14,135,161,15,0,0,0,1,3,0,0.75,0.0,6,0,0,20,13,23,0.37,10,0,0,3,0,1,22/23,0.04225352112676056,0.07142857142857142,1.4444444444444444,1.1794871794871795,23/24,Dos_Hermanas
Schaberl,Kora Marina,Haro_Rioja,22,62,103,48,18,15,3,6,41,36,7,17,12,10,53,48,77,0.58,0.35,39,2,14,71,83,74,0.26,18,1,0,7,3,22,22/23,0.06481481481481481,0.43137254901960786,4.681818181818182,0.7045454545454546,23/24,
Silberstein,Luna,Madrid_Chamberi,21,55,23,15,10,10,19,3,53,26,6,1,0,0,0,0,0,0.0,0.0,2,0,0,13,7,10,0.31,2,0,0,4,1,7,22/23,0.05128205128205128,0.5,1.0952380952380953,0.7857142857142857,23/24,
Silva,Andrea,Heidelberg,22,78,33,18,0,30,25,3,97,63,8,0,0,0,2,0,2,0.5,0.5,3,0,0,20,9,14,0.3,10,2,1,3,8,11,22/23,0.035398230088495575,0.3235294117647059,1.5,1.0129870129870129,23/24,Sayre
Soares de Araujo,Domingas,Sayre,22,84,298,93,195,14,11,16,92,127,12,1,0,0,0,0,0,0.0,0.0,38,6,50,135,168,259,0.39,10,3,0,4,0,27,22/23,0.04411764705882353,0.6136363636363636,13.545454545454545,1.0120481927710843,23/24,Sayre
Suárez Hernández,Laura Beatriz,Gran_Canaria,25,78,215,95,167,17,8,8,105,122,8,0,0,1,3,2,2,0.5,0.25,19,0,12,44,40,150,0.57,10,3,0,1,5,57,22/23,0.029850746268656716,0.75,8.6,1.04,23/24,Gran_Canaria
Unzúe Basagoiti,Carmen,Alcobendas,22,84,208,91,129,20,42,17,121,65,11,1,0,0,3,2,4,0.6,0.4,38,3,20,94,58,127,0.37,46,4,1,6,25,70,22/23,0.03985507246376811,0.46357615894039733,9.454545454545455,0.9882352941176471,23/24,
Vente Hinestroza,Angie Katherine,Socuellamos,24,74,178,62,123,25,13,10,55,72,5,2,0,0,0,3,1,0.67,0.17,15,0,13,69,43,113,0.45,17,8,0,4,15,60,22/23,0.027777777777777776,0.5769230769230769,7.416666666666667,0.8604651162790697,23/24,Socuellamos
Vilvert,Adriani,Gran_Canaria,26,88,220,109,147,20,4,13,108,132,8,3,0,1,1,2,3,0.5,0.3,23,3,27,51,57,141,0.47,16,3,0,9,3,71,22/23,0.028070175438596492,0.696078431372549,8.461538461538462,1.1733333333333333,23/24,
Westergaard,Maira,Avarca_de_Menorca,24,91,393,167,175,35,12,18,163,89,27,36,17,28,135,139,349,0.69,0.5,72,8,75,300,166,344,0.36,21,2,1,2,12,22,22/23,0.07848837209302326,0.3728813559322034,16.375,1.0833333333333333,23/24,Sayre
Westermann,Ana Carolina,Madrid_Chamberi,14,44,149,50,42,14,18,5,59,33,7,18,18,19,77,56,99,0.54,0.34,46,0,29,115,57,130,0.34,5,0,0,2,2,12,22/23,0.051470588235294115,0.5714285714285714,10.642857142857142,0.6285714285714286,23/24,
Westermann,Ana Carolina,Avarca_de_Menorca,9,29,81,29,31,6,1,7,44,34,3,9,0,5,21,29,76,0.75,0.54,18,5,17,49,41,72,0.36,1,1,0,1,3,6,22/23,0.031578947368421054,0.5,9.0,0.34523809523809523,23/24,
Wolowics,Meg,Libby's_La_Laguna,31,122,386,160,278,45,7,31,159,178,32,3,0,1,2,2,1,0.33,0.11,41,1,20,128,92,267,0.49,33,3,0,5,10,88,22/23,0.07079646017699115,0.6330935251798561,12.483870967741936,1.4186046511627908,23/24,
Agüero,Aidachi Attilah,Socuellamos,25,90,253,94,102,33,23,9,106,42,16,7,5,9,37,25,37,0.52,0.31,51,16,60,185,82,220,0.36,31,6,0,0,6,17,21/22,0.06986899563318777,0.2833333333333333,10.12,1.125,22/23,
Almazán López,Laura,Leganes,5,7,1,1,-1,1,1,0,4,4,1,0,0,0,0,0,0,0.0,0.0,0,0,1,1,2,0,0.0,1,0,0,0,1,0,21/22,0.09090909090909091,0.0,0.2,0.0958904109589041,22/23,
Alonso,Candela,Alcobendas,21,81,286,124,126,16,29,15,111,93,20,50,63,43,161,150,132,0.47,0.22,65,38,29,264,92,237,0.33,25,3,0,0,5,29,21/22,0.07042253521126761,0.46774193548387094,13.619047619047619,0.9642857142857143,22/23,
Alvarez del Burgo,María Alejandra,Gran_Canaria,28,85,21,11,0,16,4,9,98,113,8,1,0,0,0,2,0,0.67,0.0,4,0,0,8,12,12,0.33,5,0,0,1,2,1,21/22,0.03225806451612903,0.1111111111111111,0.75,1.0,22/23,Gran_Canaria
Álvarez Serrano,Iris,Socuellamos,6,7,0,0,-3,0,3,0,1,3,0,1,0,0,0,3,0,0.75,0.0,1,0,1,0,1,0,0.0,0,0,0,0,0,0,21/22,0.0,0.0,0.0,0.0875,22/23,Socuellamos
Andreu,Daniela,Barça,2,3,1,1,0,1,0,0,0,4,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,21/22,0.16666666666666666,0.0,0.5,0.036585365853658534,22/23,
Aparicio,María,Haro_Rioja,15,29,5,3,-8,5,1,0,16,6,0,2,5,2,4,6,7,0.5,0.27,4,0,2,10,3,4,0.17,1,0,0,1,0,1,21/22,0.0,0.3333333333333333,0.3333333333333333,0.32954545454545453,22/23,
Araco Serrano,Silvia,Sayre,22,82,62,40,-3,55,23,10,92,74,15,1,0,0,0,0,0,0.0,0.0,5,7,4,30,13,12,0.17,32,23,2,2,23,35,21/22,0.055762081784386616,0.30434782608695654,2.8181818181818183,0.9647058823529412,22/23,Sayre
Aranda,Patricia,Libby's_La_Laguna,28,96,88,31,56,20,10,30,202,140,11,1,0,0,2,0,0,0.0,0.0,5,3,6,20,32,61,0.48,13,4,0,5,21,16,21/22,0.026634382566585957,0.2711864406779661,3.142857142857143,1.2467532467532467,22/23,Libby's_La_Laguna
Arisan,Ceylan,Alcobendas,22,84,197,87,123,29,28,17,83,87,15,2,1,1,1,3,2,0.5,0.2,18,16,25,65,28,135,0.47,52,16,4,2,24,47,21/22,0.05791505791505792,0.3333333333333333,8.954545454545455,1.0,22/23,
Arredondo,Lisbet,Libby's_La_Laguna,27,92,413,187,227,45,3,9,171,94,20,34,6,26,140,116,128,0.54,0.28,75,5,32,184,209,347,0.41,22,7,0,9,21,46,21/22,0.05847953216374269,0.4380952380952381,15.296296296296296,1.1948051948051948,22/23,Libby's_La_Laguna
Banguero Isajar,Wanda,Avarca_de_Menorca,27,96,313,130,160,31,2,16,152,75,11,11,16,10,39,30,66,0.56,0.38,45,8,66,300,120,265,0.33,7,2,0,3,6,37,21/22,0.03832752613240418,0.6727272727272727,11.592592592592593,1.1566265060240963,22/23,Avarca_de_Menorca
Barceló Puchulutegui,Clara,Haro_Rioja,24,96,0,0,-33,0,0,0,0,0,0,33,47,43,147,146,259,0.6,0.38,0,0,0,0,0,0,0.0,0,0,0,0,0,0,21/22,,0.0,0.0,1.0909090909090908,22/23,Socuellamos
Barón Barceló,Isabel,Dos_Hermanas,21,80,0,0,-33,0,0,0,0,0,0,33,9,20,113,81,214,0.63,0.46,0,0,0,0,0,0,0.0,0,0,0,0,0,0,21/22,,0.0,0.0,0.9411764705882353,22/23,Dos_Hermanas
Barón Barcelo,María Carmen,Dos_Hermanas,1,5,0,0,-4,0,0,0,0,0,0,4,0,1,6,6,7,0.54,0.29,0,0,0,0,0,0,0.0,0,0,0,0,0,0,21/22,,0.0,0.0,0.058823529411764705,22/23,
Barrasa García,María,Avarca_de_Menorca,27,85,34,19,1,27,5,13,111,63,7,1,0,1,1,1,0,0.25,0.0,3,0,2,12,2,14,0.42,13,3,0,1,3,13,21/22,0.030973451327433628,0.3939393939393939,1.2592592592592593,1.0240963855421688,22/23,Avarca_de_Menorca
Beatriz Bosio,Priscila,Alcobendas,22,84,320,121,163,20,32,23,155,59,18,0,1,0,1,2,0,0.5,0.0,75,30,62,337,73,276,0.32,38,4,5,3,6,26,21/22,0.05863192182410423,0.33766233766233766,14.545454545454545,1.0,22/23,
Benedito,Renata,Socuellamos,24,81,185,81,124,20,40,11,105,61,14,3,0,0,3,0,2,0.25,0.25,13,1,25,63,47,130,0.47,24,8,0,0,9,41,21/22,0.055776892430278883,0.5,7.708333333333333,1.0125,22/23,Socuellamos
Beranuy Rodríguez,Helena,Sayre,5,7,0,0,-1,1,1,0,1,0,0,0,0,1,1,1,2,0.6,0.4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,21/22,0.0,0.0,0.0,0.08235294117647059,22/23,
Berbel Ventura,Aina,Sant_Cugat,24,93,299,132,192,44,23,17,118,74,22,2,1,0,2,0,3,0.38,0.38,35,18,26,111,39,207,0.47,71,34,0,7,15,70,21/22,0.0738255033557047,0.3553299492385787,12.458333333333334,1.0941176470588236,22/23,Sant_Cugat
Borrell Cruz,Emily,Leganes,21,70,135,43,-4,29,10,12,81,62,12,29,25,21,81,105,175,0.64,0.4,43,6,38,160,56,114,0.27,13,4,0,2,3,9,21/22,0.05825242718446602,0.2903225806451613,6.428571428571429,0.958904109589041,22/23,
Bové,Andrea,Sant_Cugat,22,59,34,8,4,5,6,4,41,26,5,8,20,16,32,32,52,0.53,0.33,8,4,9,45,14,27,0.25,8,10,0,1,3,2,21/22,0.05747126436781609,0.08333333333333333,1.5454545454545454,0.6941176470588235,22/23,Sant_Cugat
Bovio Del Pup,Lúa,Leganes,22,76,32,18,6,18,25,15,116,112,13,2,0,0,1,1,0,0.25,0.0,5,2,1,27,16,16,0.24,7,0,0,2,6,3,21/22,0.043478260869565216,0.16666666666666666,1.4545454545454546,1.0410958904109588,22/23,
Bravo Culebras,Denia,Alcobendas,22,84,228,86,97,20,28,23,119,90,20,37,75,27,140,148,164,0.53,0.28,49,25,25,236,61,193,0.33,31,11,1,3,12,15,21/22,0.06666666666666667,0.20833333333333334,10.363636363636363,1.0,22/23,Haro_Rioja
Brun Forcadell,Raquel,Sant_Cugat,24,93,297,101,162,13,25,14,221,74,9,39,43,40,110,96,225,0.58,0.41,47,33,36,289,84,265,0.35,41,21,0,2,6,23,21/22,0.025280898876404494,0.24731182795698925,12.375,1.0941176470588236,22/23,Sant_Cugat
Burgo Durán,Ainara,Emeve,19,51,14,10,9,3,5,5,47,28,7,1,0,0,2,0,0,0.0,0.0,1,0,0,7,1,5,0.36,1,1,0,0,0,2,21/22,0.07368421052631578,0.5,0.7368421052631579,0.5483870967741935,22/23,Emeve
Camino Fernández,Carolina,Emeve,20,83,292,133,137,31,8,18,110,97,21,29,18,34,140,100,226,0.6,0.41,60,6,35,238,74,231,0.36,5,3,0,0,1,40,21/22,0.07368421052631578,0.8163265306122449,14.6,0.8924731182795699,22/23,Emeve
Cano Martín,Marta,Barça,10,24,38,16,8,7,3,6,12,12,5,2,7,4,15,16,19,0.56,0.3,12,0,9,26,8,31,0.36,2,2,0,1,1,2,21/22,0.1111111111111111,0.25,3.8,0.2926829268292683,22/23,
Capovilla Francischini,Mariana,Emeve,18,62,112,46,31,19,2,4,82,56,5,21,5,15,54,59,92,0.61,0.37,17,3,24,104,39,91,0.33,0,0,0,0,2,16,21/22,0.02976190476190476,0.8888888888888888,6.222222222222222,0.6666666666666666,22/23,
