Apellido,Nombre,Equipo,Partidos_Jugados,Sets_Jugados,Puntos_Jugados,Break_Points,G-P,Error_Saque,Saque_Facil,Saque_Mediopunto,Saque_Negativo,Saque_Positivo,Saque_Punto,Error_Recepcion,Recepcion_Facil,Recepcion_Vendida,Recepcion_Negativa,Recepcion_Positiva,Recepcion_Perfecta,Eficacia_Recepcion_porcentaje,Recepciones_Perfectas_porcentaje,Error_Ataque,Ataque_Facil,Ataque_Bloqueado,Ataque_Negativo,Ataque_Positivo,Ataque_Punto,Eficacia_Ataques_punto,Error_Bloqueo,Bloqueo_Facil,Contacto_Red,Bloqueo_Negativo,Bloqueo_Positivo,Bloqueo_Punto,Temp,Efectividad_Saque_porcentaje,Efectividad_Bloqueo_porcentaje,Coef_Efec_Puntos,Coef_jugado,Temp_prox,Equipo_prox
Akamere Ogochukwu,Jessica,Emeve,10,14,9,4,4,3,0,0,6,1,1,0,0,0,0,0,0,0.0,0.0,2,0,0,6,2,6,0.38,2,0,0,0,0,2,24/25,0.09090909090909091,0.5,0.9,0.0,25/26,
Alvarez del Burgo,María Alejandra,Gran_Canaria,11,29,15,5,2,9,1,6,54,28,2,0,0,0,1,0,0,0.0,0.0,4,0,0,1,7,10,0.45,2,0,0,0,3,3,24/25,0.02,0.375,1.3636363636363635,0.0,25/26,
Amaral Antunes,Marcella,Avarca_de_Menorca,11,44,152,60,112,9,1,6,87,22,4,2,0,0,2,1,0,0.2,0.0,13,2,16,51,45,124,0.49,12,1,0,4,5,24,24/25,0.031007751937984496,0.5217391304347826,13.818181818181818,0.0,25/26,
Aparecida Lopes,Ana Cecilia,Sant_Cugat,11,39,135,56,59,9,13,5,64,17,3,22,33,17,70,85,88,0.55,0.28,21,9,24,124,34,118,0.36,18,1,0,3,6,14,24/25,0.02702702702702703,0.3333333333333333,12.272727272727273,0.0,25/26,
Araco Serrano,Silvia,Socuellamos,11,45,23,15,-5,24,7,3,51,32,9,0,0,0,0,0,0,0.0,0.0,3,1,1,12,1,4,0.18,9,6,0,0,7,10,24/25,0.07142857142857142,0.3125,2.090909090909091,0.0,25/26,
Aranda,Patricia,Heidelberg,11,41,44,23,29,12,5,4,93,34,8,0,0,0,1,0,0,0.0,0.0,2,1,1,9,12,26,0.51,8,5,0,0,2,10,24/25,0.05128205128205128,0.4,4.0,0.0,25/26,
Araujo Almeida Holanda Moura,Julia,Emeve,3,9,12,3,-7,7,1,1,4,5,1,1,0,7,9,18,16,0.67,0.31,7,0,4,12,7,10,0.25,3,2,1,0,1,1,24/25,0.05263157894736842,0.14285714285714285,4.0,0.0,25/26,
Arocha Ruiz,Andrea,Gran_Canaria,11,42,0,0,-18,0,0,0,0,0,0,18,5,10,68,89,118,0.67,0.38,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Arredondo,Lisbet,Libby's_La_Laguna,9,24,21,9,5,1,0,1,39,11,1,10,0,7,23,30,23,0.57,0.25,5,0,0,46,24,15,0.17,1,0,0,0,0,5,24/25,0.018867924528301886,0.8333333333333334,2.3333333333333335,0.0,25/26,
Banguero Isajar,Wanda,Sayre,11,38,83,31,19,7,0,7,71,18,1,4,0,6,14,10,10,0.45,0.23,25,0,28,97,46,71,0.27,7,0,0,0,0,11,24/25,0.009615384615384616,0.6111111111111112,7.545454545454546,0.0,25/26,
Barbero,Felicitas,Socuellamos,5,7,5,1,-4,1,0,1,5,1,0,4,0,3,7,8,6,0.5,0.21,2,0,2,9,4,5,0.23,0,0,0,0,0,0,24/25,0.0,0.0,1.0,0.0,25/26,
Barón Barceló,Isabel,Andalucía,11,46,0,0,-16,0,0,0,0,0,0,16,2,10,60,54,96,0.63,0.4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Barrasa García,María,Gran_Canaria,5,17,8,3,2,3,2,2,38,6,3,2,0,0,0,0,0,0.0,0.0,0,0,1,1,2,5,0.56,1,0,0,0,1,0,24/25,0.05555555555555555,0.0,1.6,0.0,25/26,
Benedito,Renata,Socuellamos,11,47,109,39,80,4,12,4,100,38,9,2,0,0,1,1,1,0.4,0.2,10,8,13,43,29,84,0.45,22,12,0,1,24,16,24/25,0.05389221556886228,0.21333333333333335,9.909090909090908,0.0,25/26,
Benítez,Nikkia Jeanneen,Barça,9,30,109,44,28,25,2,8,38,17,11,13,21,14,54,44,45,0.47,0.24,21,8,22,77,28,85,0.35,11,5,0,1,5,13,24/25,0.10891089108910891,0.37142857142857144,12.11111111111111,0.0,25/26,
Berbel Ventura,Aina,Sant_Cugat,11,40,130,55,70,30,4,4,35,27,8,0,0,0,0,2,0,1.0,0.0,16,12,14,53,22,96,0.45,49,19,2,3,21,26,24/25,0.07407407407407407,0.22033898305084745,11.818181818181818,0.0,25/26,
Beriashvili,Mariami,Socuellamos,6,21,26,10,-1,11,8,1,25,8,1,1,0,0,0,1,0,0.5,0.0,8,1,7,10,14,18,0.31,6,5,0,1,2,7,24/25,0.018518518518518517,0.3333333333333333,4.333333333333333,0.0,25/26,
Bernardino Hernández,Candela,Heidelberg,8,13,8,5,3,2,0,0,2,1,0,0,0,0,0,0,0,0.0,0.0,2,0,1,1,3,7,0.5,1,1,0,0,1,1,24/25,0.0,0.25,1.0,0.0,25/26,
Borrás Martí,Elena,Barça,11,36,111,34,32,16,6,5,49,20,6,24,37,20,77,39,60,0.39,0.23,26,11,13,100,44,95,0.33,8,9,0,4,6,10,24/25,0.058823529411764705,0.2702702702702703,10.090909090909092,0.0,25/26,
Botcher Llorens,Filippa,Barça,7,16,9,4,3,4,1,2,4,1,1,0,0,0,3,1,0,0.25,0.0,2,2,0,4,4,6,0.33,5,1,0,2,4,2,24/25,0.07692307692307693,0.14285714285714285,1.2857142857142858,0.0,25/26,
Bravo Culebras,Denia,Socuellamos,11,46,150,65,66,10,8,5,89,32,10,18,26,5,93,120,139,0.65,0.35,26,7,30,123,43,129,0.36,17,5,1,0,13,11,24/25,0.06493506493506493,0.2391304347826087,13.636363636363637,0.0,25/26,
Burgo Durán,Ainara,Emeve,10,32,10,8,3,2,4,6,48,20,3,1,0,0,0,0,0,0.0,0.0,3,0,1,9,2,5,0.25,3,3,0,0,3,2,24/25,0.03614457831325301,0.18181818181818182,1.0,0.0,25/26,
Busquets Plans,Anna,Barça,3,8,1,0,-1,1,0,1,4,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,1,0.33,0,0,0,0,0,0,24/25,0.0,0.0,0.3333333333333333,0.0,25/26,
Cano Martín,Marta,Sant_Cugat,10,23,29,9,-4,7,1,1,22,17,3,4,0,7,17,21,31,0.65,0.39,9,6,13,25,9,25,0.29,3,1,0,0,1,1,24/25,0.058823529411764705,0.16666666666666666,2.9,0.0,25/26,
Carpintero Gómez,Paula,Haro_Rioja,11,42,111,41,66,4,2,1,53,12,4,6,4,3,34,20,14,0.42,0.17,18,3,17,59,100,101,0.34,9,1,0,10,8,6,24/25,0.05263157894736842,0.17647058823529413,10.090909090909092,0.0,25/26,
Castellano Engo,Lucrecia,Gran_Canaria,8,25,49,28,24,16,2,1,56,15,8,0,0,0,1,0,0,0.0,0.0,5,1,4,9,6,23,0.48,5,0,1,0,2,18,24/25,0.08163265306122448,0.72,6.125,0.0,25/26,
Castro López,Grecia Esther,Avarca_de_Menorca,11,40,164,65,83,21,0,7,80,37,7,12,2,8,58,97,104,0.72,0.37,27,1,21,97,43,146,0.44,6,1,0,6,1,11,24/25,0.046052631578947366,0.44,14.909090909090908,0.0,25/26,
Cengotitabengoa,Ane,Socuellamos,11,46,182,56,86,9,10,5,97,32,3,1,0,0,2,1,0,0.25,0.0,50,10,36,128,53,167,0.38,13,8,0,1,12,12,24/25,0.019230769230769232,0.2608695652173913,16.545454545454547,0.0,25/26,
Clavel Bravo,Berta,Sant_Cugat,4,11,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.0,0.0,0.0,0.0,25/26,
De Blas Gálvez,Irene,Andalucía,6,9,6,5,6,0,0,1,8,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,4,4,2,0.2,0,0,0,0,0,0,24/25,0.23529411764705882,0.0,1.0,0.0,25/26,
Delagrammatikas Laredo,Leticia,Andalucía,11,44,72,33,36,23,9,4,65,38,5,3,0,0,1,2,0,0.33,0.0,6,2,4,36,16,38,0.37,5,0,0,3,4,29,24/25,0.034722222222222224,0.7073170731707317,6.545454545454546,0.0,25/26,
Delgado Van Dongen,Daysa,Libby's_La_Laguna,6,8,9,2,8,1,0,0,3,5,1,0,0,0,0,0,0,0.0,0.0,0,0,0,3,3,3,0.33,1,0,0,0,0,5,24/25,0.1,0.8333333333333334,1.5,0.0,25/26,
Ellis,Emma Elizabeth,Andalucía,11,46,178,59,82,23,2,6,64,30,8,0,0,1,2,0,0,0.0,0.0,44,5,29,117,65,152,0.37,6,4,0,3,5,18,24/25,0.06015037593984962,0.5,16.181818181818183,0.0,25/26,
Essayadi Haski,Nada,Socuellamos,8,31,53,22,29,10,6,4,58,28,4,1,0,0,1,1,0,0.33,0.0,9,1,4,30,9,36,0.4,16,8,0,0,10,13,24/25,0.03636363636363636,0.2765957446808511,6.625,0.0,25/26,
Etxebarria,Aida,Haro_Rioja,11,45,0,0,-22,0,0,0,0,0,0,22,9,9,82,83,132,0.64,0.39,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Fatu Conteh,Kamani Kanina,Madrid_Chamberi,11,42,152,42,60,24,7,9,59,27,4,1,0,1,1,0,1,0.25,0.25,43,8,25,99,38,129,0.38,7,2,0,0,6,20,24/25,0.03076923076923077,0.5714285714285714,13.909090909090908,0.0,25/26,
Fernández Gayoso,Jimena,Avarca_de_Menorca,11,42,177,75,83,24,2,12,90,14,12,1,0,0,0,0,0,0.0,0.0,40,5,29,78,82,149,0.39,5,0,0,5,4,16,24/25,0.07792207792207792,0.5333333333333333,16.09090909090909,0.0,25/26,
Figueira González,Lidia,Madrid_Chamberi,10,38,0,0,-17,0,0,0,0,0,0,17,5,10,58,35,100,0.6,0.44,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Figueroa Arroyo,María,Madrid_Chamberi,11,41,15,9,7,6,8,3,76,24,2,0,0,1,0,1,0,0.5,0.0,1,1,1,12,7,5,0.19,9,5,0,0,5,8,24/25,0.01680672268907563,0.2962962962962963,1.3636363636363635,0.0,25/26,
Flores Stable,Lianma,Gran_Canaria,10,32,98,44,39,12,2,6,65,28,7,0,0,0,0,0,0,0.0,0.0,22,2,25,52,55,85,0.35,4,3,0,0,2,6,24/25,0.058333333333333334,0.4,9.8,0.0,25/26,
Folgueira Fernandez,Sara,Haro_Rioja,11,44,92,31,50,6,2,3,68,24,3,1,0,0,0,1,0,0.5,0.0,15,2,20,79,83,80,0.29,11,1,0,14,6,9,24/25,0.02830188679245283,0.21951219512195122,8.363636363636363,0.0,25/26,
Fortuna,Antonela Guadalupe,Avarca_de_Menorca,10,38,91,42,35,9,2,8,94,38,4,8,1,6,45,53,102,0.72,0.47,24,1,15,76,53,82,0.33,6,0,0,3,1,5,24/25,0.025806451612903226,0.3333333333333333,9.1,0.0,25/26,
Frías Pomiano,Maguilaura Dessire,Andalucía,11,46,236,88,159,20,2,5,89,49,10,9,13,13,64,63,137,0.67,0.46,33,5,15,140,92,219,0.43,7,1,0,1,3,7,24/25,0.05714285714285714,0.3684210526315789,21.454545454545453,0.0,25/26,
Galiano,Valentina,Haro_Rioja,11,45,29,17,16,8,3,2,107,38,10,1,0,0,0,1,0,0.5,0.0,4,0,0,13,8,13,0.34,23,3,0,7,11,6,24/25,0.05952380952380952,0.12,2.6363636363636362,0.0,25/26,
García Ceballos,Paula,Haro_Rioja,11,31,3,1,-4,6,0,0,20,5,1,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,2,0.5,2,0,0,2,3,0,24/25,0.03125,0.0,0.2727272727272727,0.0,25/26,
García Pérez,Marta,Barça,11,36,0,0,-14,0,0,0,0,0,0,14,13,13,47,42,76,0.58,0.37,0,0,0,1,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Giglio,Florencia Paz Sabina,Haro_Rioja,11,44,94,30,34,9,5,2,91,39,3,10,9,4,70,91,107,0.68,0.37,28,3,13,84,89,75,0.26,19,3,0,12,5,16,24/25,0.020134228187919462,0.2909090909090909,8.545454545454545,0.0,25/26,
Giorgi,María Florencia,Emeve,11,37,88,30,51,7,4,9,67,33,8,0,0,0,1,1,2,0.75,0.5,14,2,16,37,14,63,0.43,19,7,0,0,6,17,24/25,0.0625,0.3469387755102041,8.0,0.0,25/26,
Gómez Bibiloni,Lidia,Avarca_de_Menorca,10,19,3,3,1,2,1,1,18,3,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.10714285714285714,0.0,0.3,0.0,25/26,
Gomila Perello,María Antonia,Sant_Cugat,11,39,0,0,-6,0,0,0,0,0,0,6,28,9,31,43,75,0.61,0.39,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Gonzalez Fernandez,Helia,Gran_Canaria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
González Leone,Eliana Aylen,Socuellamos,11,47,0,0,-14,0,0,0,0,0,0,14,6,8,39,68,104,0.72,0.44,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
González Pérez,Olalla,Emeve,7,8,2,1,-2,0,0,0,5,1,1,3,1,5,3,4,5,0.43,0.24,1,0,0,4,0,1,0.17,0,0,0,0,0,0,24/25,0.14285714285714285,0.0,0.2857142857142857,0.0,25/26,
Gonzalo Cortés,Martina,Barça,7,17,15,4,7,1,4,2,4,0,2,0,0,1,1,0,0,0.0,0.0,4,4,3,18,1,11,0.27,1,1,0,2,1,2,24/25,0.15384615384615385,0.2857142857142857,2.142857142857143,0.0,25/26,
Grajales Pascua,Laura Vanessa,Sayre,11,42,213,88,120,10,0,3,96,37,9,17,0,6,83,61,93,0.59,0.36,38,0,28,143,58,187,0.41,7,0,0,3,1,17,24/25,0.05806451612903226,0.6071428571428571,19.363636363636363,0.0,25/26,
Gritzbach,Fernanda,Haro_Rioja,7,31,102,30,78,7,3,2,60,16,4,1,0,0,0,1,1,0.67,0.33,9,1,7,38,28,67,0.45,35,1,0,15,16,31,24/25,0.043478260869565216,0.3163265306122449,14.571428571428571,0.0,25/26,
Guidarelli Camarero,Sol,Sant_Cugat,11,34,34,18,16,8,3,1,29,8,8,0,1,0,0,0,1,0.5,0.5,7,2,3,41,5,22,0.28,8,2,1,0,3,4,24/25,0.14035087719298245,0.23529411764705882,3.090909090909091,0.0,25/26,
Guilabert Navarro,Mireia,Heidelberg,8,12,0,0,-2,2,0,0,6,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.0,0.0,0.0,0.0,25/26,
Hernández Figueroa,Claudia,Heidelberg,11,41,0,0,-4,0,0,0,0,0,0,4,8,11,24,57,101,0.77,0.49,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Hernández Van den Bosch,Lola,Heidelberg,11,36,80,43,50,19,4,4,49,25,10,1,0,0,1,1,2,0.6,0.4,5,0,5,16,27,45,0.46,6,2,0,2,5,25,24/25,0.09009009009009009,0.625,7.2727272727272725,0.0,25/26,
Hiruela,Camila,Heidelberg,11,41,125,63,50,21,6,6,80,28,8,16,12,5,52,47,94,0.62,0.42,16,7,22,80,86,108,0.34,5,4,1,0,2,9,24/25,0.053691275167785234,0.45,11.363636363636363,0.0,25/26,
Hurtado Martínez,Alessandra,Sant_Cugat,11,39,86,32,46,19,15,7,50,37,9,0,0,1,2,0,5,0.63,0.63,9,6,12,32,19,62,0.44,26,11,1,2,17,15,24/25,0.06569343065693431,0.2112676056338028,7.818181818181818,0.0,25/26,
Jiménez De Lucas,Blanca,Emeve,8,21,3,2,-1,3,2,2,21,16,0,0,0,0,1,0,0,0.0,0.0,0,0,1,5,0,3,0.33,1,1,0,0,0,0,24/25,0.0,0.0,0.375,0.0,25/26,
Jiménez Ruiz,Carla,Avarca_de_Menorca,11,44,104,39,70,13,4,4,76,35,9,1,0,0,0,0,0,0.0,0.0,11,1,9,31,25,78,0.5,12,1,0,11,4,17,24/25,0.06382978723404255,0.37777777777777777,9.454545454545455,0.0,25/26,
Jose Do Nascimento,Talita,Emeve,11,39,103,44,55,26,1,10,62,33,15,3,0,1,4,0,1,0.11,0.11,9,2,10,41,24,68,0.44,28,1,1,0,8,20,24/25,0.10204081632653061,0.3508771929824561,9.363636363636363,0.0,25/26,
Jovancic,Lana,Sant_Cugat,3,3,2,1,-1,2,1,0,2,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1.0,0,0,0,0,1,0,24/25,0.0,0.0,0.6666666666666666,0.0,25/26,
Juan González,Laura,Sayre,11,41,0,0,-17,0,0,0,0,0,0,17,0,12,72,56,73,0.56,0.32,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Jurdza,Anija,Gran_Canaria,9,29,71,30,18,10,3,4,55,30,5,3,0,4,28,36,35,0.67,0.33,18,3,22,49,44,60,0.31,4,0,1,0,1,6,24/25,0.04672897196261682,0.5454545454545454,7.888888888888889,0.0,25/26,
Koehler Borras,Alba,Barça,11,36,85,37,45,26,7,5,51,21,23,0,1,1,4,3,1,0.4,0.1,12,2,2,29,17,48,0.44,19,11,0,5,9,14,24/25,0.17293233082706766,0.2413793103448276,7.7272727272727275,0.0,25/26,
Lavado Fernández,Inmaculada,Sayre,11,42,123,48,83,17,0,6,62,40,8,0,0,0,3,1,2,0.5,0.33,11,0,12,34,24,82,0.5,16,0,0,8,3,33,24/25,0.06015037593984962,0.55,11.181818181818182,0.0,25/26,
Lazurenko,Yelizaveta,Andalucía,11,41,29,12,13,11,1,4,69,38,3,2,0,0,0,2,0,0.5,0.0,2,1,1,8,10,20,0.48,8,0,0,3,1,6,24/25,0.023809523809523808,0.3333333333333333,2.6363636363636362,0.0,25/26,
Ligorria,Ángeles,Sayre,9,35,109,46,58,5,0,8,84,53,6,13,0,13,89,57,62,0.51,0.26,15,0,18,73,59,91,0.36,4,0,0,4,0,12,24/25,0.038461538461538464,0.6,12.11111111111111,0.0,25/26,
Lope,Vega,Haro_Rioja,6,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.0,0.0,0.0,0.0,25/26,
López,Itziar,Sant_Cugat,9,30,76,25,35,17,10,3,45,20,8,0,0,0,0,0,0,0.0,0.0,9,9,15,61,12,61,0.37,12,7,1,2,9,7,24/25,0.07766990291262135,0.1891891891891892,8.444444444444445,0.0,25/26,
Manso,Esther,Haro_Rioja,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.0,0.0,0.0,0.0,25/26,
Manzano Romero,Saray,Gran_Canaria,6,23,100,41,34,18,5,2,28,14,8,8,5,1,17,40,46,0.74,0.39,21,4,19,21,55,87,0.42,4,2,0,0,1,5,24/25,0.10666666666666667,0.4166666666666667,16.666666666666668,0.0,25/26,
Martí Alegre,Marina,Sayre,6,18,23,13,5,11,0,3,22,10,2,2,0,0,0,0,1,0.33,0.33,3,0,2,8,11,8,0.25,2,0,0,5,3,13,24/25,0.041666666666666664,0.5652173913043478,3.8333333333333335,0.0,25/26,
Martínez Gálvez,Blanca,Heidelberg,9,17,20,10,15,2,6,0,18,5,2,0,0,0,0,0,0,0.0,0.0,0,2,3,6,2,10,0.43,6,5,0,1,4,8,24/25,0.06060606060606061,0.3333333333333333,2.2222222222222223,0.0,25/26,
Martínez Villarreal,Ivone,Avarca_de_Menorca,11,43,22,16,9,11,4,2,86,22,9,1,0,0,0,1,2,0.75,0.5,1,0,0,7,2,8,0.44,6,1,0,4,2,5,24/25,0.06716417910447761,0.2777777777777778,2.0,0.0,25/26,
Matamoros,Natalia,Barça,2,4,10,3,-3,2,0,0,6,3,0,3,1,1,5,13,12,0.71,0.34,5,2,3,3,12,9,0.26,2,1,0,2,0,1,24/25,0.0,0.16666666666666666,5.0,0.0,25/26,
Matienzo,Sulian,Gran_Canaria,11,42,220,97,118,24,1,12,73,39,19,12,8,6,50,69,84,0.67,0.37,42,4,24,81,107,188,0.42,3,1,0,0,2,13,24/25,0.1130952380952381,0.6842105263157895,20.0,0.0,25/26,
Mavrommatis López,Zoi,Avarca_de_Menorca,10,34,66,22,49,5,1,5,44,11,3,5,0,2,23,21,24,0.6,0.32,3,0,4,50,31,59,0.4,1,0,0,0,0,4,24/25,0.043478260869565216,0.8,6.6,0.0,25/26,
Mc Arthur,Amani Yvonne,Madrid_Chamberi,10,39,90,30,66,7,12,3,62,20,2,0,0,2,4,0,2,0.25,0.25,11,5,6,50,12,64,0.43,12,6,0,0,11,24,24/25,0.018867924528301886,0.4528301886792453,9.0,0.0,25/26,
Mclaughlin,Madeleine,Andalucía,3,8,6,2,-1,4,0,1,10,4,2,0,0,0,0,0,0,0.0,0.0,2,0,1,7,2,3,0.2,2,0,0,2,0,1,24/25,0.09523809523809523,0.2,2.0,0.0,25/26,
Medina Chacoa,Winderlys Gisel,Heidelberg,11,41,119,54,54,18,8,6,77,42,6,15,10,8,61,57,106,0.63,0.41,18,1,14,74,68,103,0.37,5,3,0,0,4,10,24/25,0.03821656050955414,0.45454545454545453,10.818181818181818,0.0,25/26,
Mendonça Principe,Andria,Socuellamos,8,13,1,1,-1,2,1,0,10,7,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.047619047619047616,0.0,0.125,0.0,25/26,
Menegozzo Carlevaro,Agostina,Heidelberg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Mesquida Rossello,Rosa,Barça,8,11,0,0,-5,1,0,0,0,0,0,4,2,0,4,2,1,0.23,0.08,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.0,0.0,0.0,0.0,25/26,
Miguel de Blas,Paula,Haro_Rioja,9,31,50,25,33,10,0,1,72,23,7,0,0,0,0,1,1,1.0,0.5,4,0,3,10,17,23,0.4,27,0,0,19,6,20,24/25,0.061946902654867256,0.2777777777777778,5.555555555555555,0.0,25/26,
Montoro Muñoz,Raquel,Emeve,11,38,113,32,64,8,3,8,63,39,5,0,0,0,0,0,0,0.0,0.0,25,2,16,131,51,103,0.31,11,5,0,0,2,5,24/25,0.03968253968253968,0.21739130434782608,10.272727272727273,0.0,25/26,
Morales Pradillo,Paula,Madrid_Chamberi,11,29,6,3,3,3,4,4,21,15,3,0,0,0,1,0,0,0.0,0.0,0,0,0,2,0,1,0.33,2,0,0,0,1,2,24/25,0.06,0.4,0.5454545454545454,0.0,25/26,
Morón Romero,Paula,Madrid_Chamberi,8,16,3,1,-5,3,2,1,4,1,0,0,1,2,13,2,0,0.11,0.0,2,0,3,8,3,3,0.16,2,0,0,0,3,0,24/25,0.0,0.0,0.375,0.0,25/26,
Newsome Mimó,Anna,Sant_Cugat,11,39,25,12,13,7,11,6,47,26,5,0,0,0,0,1,0,1.0,0.0,1,1,4,18,6,13,0.3,14,9,1,2,3,7,24/25,0.049019607843137254,0.2,2.272727272727273,0.0,25/26,
Niece,Avalyn Kelly,Madrid_Chamberi,4,14,27,11,15,4,2,2,19,8,3,0,0,0,0,0,1,1.0,1.0,3,2,5,11,6,14,0.34,17,5,0,0,7,10,24/25,0.07894736842105263,0.2564102564102564,6.75,0.0,25/26,
Nosach,Eugenia,Libby's_La_Laguna,10,31,113,35,69,13,2,7,43,41,0,1,0,0,0,0,0,0.0,0.0,14,2,16,125,36,101,0.34,7,3,0,0,1,12,24/25,0.0,0.5217391304347826,11.3,0.0,25/26,
Nsunguimina Meñana,Bely Bella,Libby's_La_Laguna,11,36,123,57,47,25,2,7,46,33,14,9,5,6,52,33,50,0.54,0.32,21,5,21,89,37,99,0.36,5,0,0,0,0,10,24/25,0.11023622047244094,0.6666666666666666,11.181818181818182,0.0,25/26,
Odell,Kaycee Ryan,Sayre,11,32,72,25,50,13,0,7,56,22,7,0,0,0,5,0,3,0.38,0.38,5,0,4,28,17,44,0.45,13,0,0,1,0,21,24/25,0.06666666666666667,0.6,6.545454545454546,0.0,25/26,
Olguín,Camila Linda,Libby's_La_Laguna,8,17,2,1,-1,2,0,1,8,1,1,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,24/25,0.07692307692307693,0.0,0.25,0.0,25/26,
Orejas Tans,Helena,Andalucía,11,43,51,25,5,13,2,4,77,40,9,11,0,15,44,45,69,0.62,0.38,10,0,12,53,34,37,0.25,2,0,0,0,0,5,24/25,0.06206896551724138,0.7142857142857143,4.636363636363637,0.0,25/26,
Orozco Simo,Ariadna,Madrid_Chamberi,8,14,21,11,8,4,0,0,13,5,3,5,4,4,11,7,21,0.54,0.4,1,5,3,19,4,15,0.32,6,0,0,0,1,3,24/25,0.12,0.3,2.625,0.0,25/26,
Ortiz Carmona,Alba,Avarca_de_Menorca,6,8,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,4,2,1,0.13,0,0,0,2,0,2,24/25,0.0,0.5,0.5,0.0,25/26,
Osayande Morales,Irene,Haro_Rioja,9,31,91,34,45,16,1,3,59,22,4,0,0,2,0,2,2,0.67,0.33,18,3,12,25,36,65,0.41,21,4,0,15,6,22,24/25,0.0380952380952381,0.3235294117647059,10.11111111111111,0.0,25/26,
Otero Martínez,Marta,Emeve,11,39,0,0,-14,0,0,0,0,0,0,14,1,14,50,57,90,0.65,0.4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Palau Vilaseca,Berta,Barça,11,35,87,23,37,9,1,5,53,16,4,2,2,3,0,1,2,0.3,0.2,20,5,19,92,36,78,0.31,11,10,0,4,8,5,24/25,0.045454545454545456,0.13157894736842105,7.909090909090909,0.0,25/26,
Pelland,Quinn Grace,Libby's_La_Laguna,11,36,26,15,11,11,4,0,69,28,5,0,0,0,1,1,0,0.5,0.0,2,1,2,14,3,14,0.39,6,2,0,0,4,7,24/25,0.042735042735042736,0.3684210526315789,2.3636363636363638,0.0,25/26,
Pene,Mojca,Libby's_La_Laguna,4,14,36,16,12,6,3,2,25,13,3,5,5,11,41,23,28,0.45,0.25,8,5,5,26,6,26,0.34,3,3,0,0,2,7,24/25,0.057692307692307696,0.4666666666666667,9.0,0.0,25/26,
Peña Araya,Alexia,Gran_Canaria,3,4,0,0,-1,1,0,1,4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,0.0,0.0,0.0,0.0,25/26,
Pérez López,Alejandra,Emeve,11,38,136,55,26,27,3,7,30,31,9,20,6,26,43,60,88,0.61,0.36,32,10,31,87,40,118,0.37,9,1,0,0,1,9,24/25,0.08411214953271028,0.45,12.363636363636363,0.0,25/26,
